config_id,htf_pivot_len,ltf_pivot_len,sl,sl_buffer_pips,tp_kind,tp_mode,tp_pips,trend_filter,max_sl_atr,n_trades,net_pips,win_rate,profit_factor,avg_pips,max_drawdown_pips,monthly_sharpe,months,tp_rate,long_share,tp_r_multiple,tp_atr_mult
1398,3,2,ltf,200,r,r_multiple,,none,0.0,519,27449.82499999251,0.5664739884393064,1.0884497859791276,52.88983622349231,26625.90000000223,0.12922091520686854,45,0.5664739884393064,0.5568400770712909,0.75,
1399,3,2,ltf,200,r,r_multiple,,none,5.0,530,21321.399999992263,0.5528301886792453,1.0709257464178257,40.22905660375899,27642.375000002245,0.10774531065796686,45,0.5528301886792453,0.5509433962264151,0.75,
1400,3,2,ltf,200,r,r_multiple,,none,7.0,523,23110.049999992472,0.5602294455066922,1.0750632400744982,44.187476099411995,26625.90000000223,0.10860950786203843,45,0.5602294455066922,0.5506692160611855,0.75,
1401,3,2,ltf,200,r,r_multiple,,ema,0.0,413,46384.24999999402,0.5980629539951574,1.190203685463559,112.31053268763685,22624.67500000031,0.23740881326063085,45,0.5980629539951574,0.5811138014527845,0.75,
1402,3,2,ltf,200,r,r_multiple,,ema,5.0,419,41736.199999993885,0.5847255369928401,1.1808399641579872,99.60906921239591,15016.500000000087,0.24765708019370308,45,0.5847255369928401,0.5751789976133651,0.75,
1403,3,2,ltf,200,r,r_multiple,,ema,7.0,416,45064.92499999401,0.59375,1.1887521895122608,108.32914663460097,22624.67500000031,0.22832183060498393,45,0.59375,0.5745192307692307,0.75,
1404,3,2,ltf,200,r,r_multiple,,none,0.0,486,23805.19999999248,0.49382716049382713,1.0677867836672725,48.98189300409975,27060.200000002238,0.12980536288511987,45,0.49382716049382713,0.5576131687242798,1.0,
1405,3,2,ltf,200,r,r_multiple,,none,5.0,504,32431.39999999232,0.49404761904761907,1.0977575807082904,64.34801587300063,26406.900000002228,0.15755976807978067,45,0.49404761904761907,0.5615079365079365,1.0,
1406,3,2,ltf,200,r,r_multiple,,none,7.0,496,25234.499999992433,0.4939516129032258,1.0726230133319674,50.87600806450087,24657.400000002213,0.12643831766361877,45,0.4939516129032258,0.5544354838709677,1.0,
1407,3,2,ltf,200,r,r_multiple,,ema,0.0,389,44903.89999999397,0.5244215938303342,1.1600379638381015,115.43419023134696,20770.200000000237,0.2494699393021835,45,0.5244215938303342,0.583547557840617,1.0,
1408,3,2,ltf,200,r,r_multiple,,ema,5.0,402,52310.29999999392,0.5248756218905473,1.2019189719368322,130.12512437809434,19280.400000000962,0.2650179206501016,45,0.5248756218905473,0.5895522388059702,1.0,
1409,3,2,ltf,200,r,r_multiple,,ema,7.0,398,45469.49999999392,0.5226130653266332,1.164222326319502,114.24497487435657,20770.200000000237,0.23117708273507276,45,0.5226130653266332,0.5804020100502513,1.0,
1410,3,2,ltf,200,r,r_multiple,,none,0.0,419,58254.74999999395,0.4033412887828162,1.1653400334342594,139.0328162291025,28543.850000000828,0.18591245606827742,45,0.4033412887828162,0.5584725536992841,1.5,
1411,3,2,ltf,200,r,r_multiple,,none,5.0,450,33984.449999993514,0.3933333333333333,1.0947669715376394,75.52099999998559,35050.25000000299,0.10956946507096325,45,0.3933333333333333,0.5511111111111111,1.5,
1412,3,2,ltf,200,r,r_multiple,,none,7.0,426,51427.44999999389,0.39906103286384975,1.1461608770200946,120.72171361500914,28543.850000000835,0.16228999625733972,45,0.39906103286384975,0.5516431924882629,1.5,
1413,3,2,ltf,200,r,r_multiple,,ema,0.0,341,55629.34999999497,0.41348973607038125,1.1891661900334611,163.13592375365093,27302.15000000067,0.20630348759464,45,0.41348973607038125,0.5835777126099707,1.5,
1414,3,2,ltf,200,r,r_multiple,,ema,5.0,366,33695.64999999467,0.40437158469945356,1.1142902254317868,92.06461748632422,27538.400000001,0.12632873337555545,45,0.40437158469945356,0.5792349726775956,1.5,
1415,3,2,ltf,200,r,r_multiple,,ema,7.0,347,50056.94999999493,0.4092219020172911,1.1712263095711082,144.25634005762228,27302.15000000067,0.18373445352447507,45,0.4092219020172911,0.5734870317002881,1.5,
1416,3,2,ltf,200,r,r_multiple,,none,0.0,343,72233.39999999481,0.37026239067055394,1.21584721497584,210.59300291543678,23002.200000001918,0.2594482346276618,45,0.37026239067055394,0.5626822157434402,2.0,
1417,3,2,ltf,200,r,r_multiple,,none,5.0,387,54581.49999999427,0.35658914728682173,1.1591494572942518,141.03746770024358,36869.00000000317,0.20519747134209076,45,0.35658914728682173,0.5529715762273901,2.0,
1418,3,2,ltf,200,r,r_multiple,,none,7.0,354,77928.19999999474,0.3728813559322034,1.236606152023476,220.13615819207556,22499.600000000966,0.28031402501221797,45,0.3728813559322034,0.5536723163841808,2.0,
1419,3,2,ltf,200,r,r_multiple,,ema,0.0,283,80659.69999999585,0.38869257950530034,1.2837065451828615,285.01660777383694,23072.500000000568,0.3457546511945719,45,0.38869257950530034,0.5865724381625441,2.0,
1420,3,2,ltf,200,r,r_multiple,,ema,5.0,318,67870.59999999552,0.3742138364779874,1.238664587263696,213.4295597484136,23487.200000000757,0.2820756917781788,45,0.3742138364779874,0.5691823899371069,2.0,
1421,3,2,ltf,200,r,r_multiple,,ema,7.0,293,87609.39999999582,0.3924914675767918,1.3154144807235992,299.0081911262656,23072.500000000582,0.3773454867712357,45,0.3924914675767918,0.5733788395904437,2.0,
1422,3,2,ltf,200,atr,atr,,none,0.0,508,22221.88571427687,0.452755905511811,1.0583465224518598,43.743869516293046,19630.114285715266,0.12140451557875462,45,0.452755905511811,0.5551181102362205,,3.0
1423,3,2,ltf,200,atr,atr,,none,5.0,500,24505.499999991247,0.438,1.0682614534420447,49.010999999982495,23185.69285714544,0.1321943652826422,45,0.438,0.55,,3.0
1424,3,2,ltf,200,atr,atr,,none,7.0,506,25935.14999999127,0.44861660079051385,1.0695675277235543,51.25523715413294,19630.114285715266,0.14043003575535012,45,0.44861660079051385,0.5513833992094862,,3.0
1425,3,2,ltf,200,atr,atr,,ema,0.0,401,37567.485714278584,0.48129675810473815,1.1249578341840523,93.68450302812614,21496.65714285743,0.19876683531871497,45,0.48129675810473815,0.5835411471321695,,3.0
